ID	Bioinformatic_ID	FLAG	ORF	Name	Oncogenic	Pathway
138	Annexin_I-R-V		ANXA1	Annexin		Miscellaneous
139	PTEN-R-V		PTEN	PTEN	1	mTOR
140	FAK-R-C		PTK2	FAK	1	mTOR
141	YB-1_pS102-R-V		YBX1	YB-1_pS102	1	Adhesion
142	STAT3_pY705-R-V		STAT3	STAT3_pY705	1	Jak_STAT
143	Rab11-R-V		RAB11A	Rab11		Miscellaneous
144	Akt_pS473-R-V		AKT1	Akt_pS473	1	mTOR
145	Paxillin-R-V		PXN	Paxillin		mTOR
146	p21-R-C	Caution	CDKN1B	p21	-1	Mitosis
147	Fibronectin-R-C	Caution	FN1	Fibronectin		Adhesion
148	Syk-M-V		SYK	Syk		Miscellaneous
149	Akt-R-V		AKT1	Akt	1	mTOR
